          Intervals delta N delta N / (N * delta t)                   t                       p
0      [79.0;83.47]       2    8.94568690095846e-05              81.235   9.065550734879715e-05
1     [83.47;87.94]       1    4.47284345047923e-05              85.705  0.00011393272827496002
2     [87.94;92.41]       1   4.472843450479244e-05              90.175   0.0001423060668041604
3     [92.41;96.89]       8   0.0003578274760383384               94.65  0.00017669427377777598
4    [96.89;101.36]      11   0.0004920127795527152              99.125  0.00021803998895030745
5   [101.36;105.83]       7  0.00031309904153354706             103.595  0.00026734182961594846
6    [105.83;110.3]      12   0.0005367412140575076             108.065   0.0003257754055086621
7    [110.3;114.77]      14   0.0006261980830670922             112.535   0.0003945393145458098
8   [114.77;119.24]      21   0.0009392971246006383             117.005  0.00047487891932119266
9   [119.24;123.71]      21   0.0009392971246006383             121.475   0.0005680624855455025
10  [123.71;128.19]      15   0.0006709265175718866  125.94999999999999   0.0006754799835681091
11  [128.19;132.66]      24   0.0010734824281150186             130.425   0.0007982583583447899
12  [132.66;137.13]      33    0.001476038338658141  134.89499999999998   0.0009373732156110633
13   [137.13;141.6]      27    0.001207667731629396             139.365   0.0010939619550379399
14   [141.6;146.07]      39   0.0017444089456869051  143.83499999999998   0.0012688565066627916
15  [146.07;150.54]      32    0.001431309904153349             148.305   0.0014626601087034763
16  [150.54;155.01]      41   0.0018338658146964783  152.77499999999998   0.0016756948559283492
17  [155.01;159.49]      42   0.0018785942492012826              157.25    0.001908220799568717
18  [159.49;163.96]      34    0.001520766773162943  161.72500000000002    0.002159617958676337
19  [163.96;168.43]      58    0.002594249201277945             166.195    0.002428758291433526
20   [168.43;172.9]      49    0.002191693290734829  170.66500000000002    0.002714640197809042
21   [172.9;177.37]      69   0.0030862619808306783             175.135    0.003015510665158486
22  [177.37;181.84]      55   0.0024600638977635685  179.60500000000002   0.0033291247955501285
23  [181.84;186.31]      81   0.0036230031948881873             184.075    0.003652749547157344
24  [186.31;190.79]      72   0.0032204472843450553              188.55    0.003983555744591023
25  [190.79;195.26]      88    0.003936102236421709  193.02499999999998    0.004317541476368267
26  [195.26;199.73]      94    0.004204472843450489             197.495    0.004650312998909197
27   [199.73;204.2]     113    0.005054313099041545  201.96499999999997    0.004977926331359172
28   [204.2;208.67]      93     0.00415974440894567             206.435   0.0052958461382084975
29  [208.67;213.14]     163    0.007290734824281168  210.90499999999997    0.005599417705800538
30  [213.14;217.61]     109    0.004875399361022345             215.375    0.005883977279906225
31  [217.61;222.09]     137    0.006127795527156564  219.85000000000002    0.006145246454166263
32  [222.09;226.56]     126   0.0056357827476038475             224.325    0.006378554031729191
33  [226.56;231.03]     156    0.006977635782747576  228.79500000000002   0.0065797017206431305
34   [231.03;235.5]     144    0.006440894568690111             233.265    0.006745447817894206
35   [235.5;239.97]     120    0.005367412140575058             237.735    0.006872836008848647
36  [239.97;244.44]     152     0.00679872204472845  242.20499999999998   0.0069595600976247495
37  [244.44;248.91]     144    0.006440894568690111             246.675    0.007004033441319132
38  [248.91;253.39]     178    0.007961661341853004  251.14999999999998    0.007005414601470611
39  [253.39;257.86]     138   0.0061725239616613175             255.625    0.006963604407978875
40  [257.86;262.33]     203    0.009079872204472924             260.095     0.00687949183545636
41   [262.33;266.8]     137    0.006127795527156525             264.565    0.006754593864239094
42   [266.8;271.27]     172    0.007693290734824251  269.03499999999997    0.006591173387094555
43  [271.27;275.74]     127    0.005680511182108675             273.505    0.006392148341477374
44  [275.74;280.21]     143    0.006396166134185278             277.975   0.0061610050854093955
45  [280.21;284.69]     122    0.005456869009584643              282.45    0.005901392684253934
46  [284.69;289.16]     133    0.005948881789137432             286.925    0.005617875064211787
47  [289.16;293.63]      75    0.003354632587859412             291.395    0.005315359529961013
48   [293.63;298.1]     130   0.0058146964856229805             295.865    0.004998202273842462
49   [298.1;302.57]      91    0.004070287539936137  300.33500000000004   0.0046710619116252915
50  [302.57;307.04]     101    0.004517571884984008             304.805   0.0043384843280720176
51  [307.04;311.51]      94    0.004204472843450463             309.275    0.004004802062515798
52  [311.51;315.99]      89   0.0039808306709265525              313.75   0.0036736799422367374
53  [315.99;320.46]      94    0.004204472843450463             318.225    0.003349162302862205
54  [320.46;324.93]      82   0.0036677316293929566             322.695   0.0030348348580569217
55   [324.93;329.4]      78   0.0034888178913738323  327.16499999999996   0.0027330938612871313
56   [329.4;333.87]      58    0.002594249201277945             331.635   0.0024462151033267875
57  [333.87;338.34]      72   0.0032204472843450353             336.105   0.0021759822747481517
58  [338.34;342.81]      57   0.0025495207667731528             340.575    0.001923697041061173
59  [342.81;347.29]      55   0.0024600638977635998              345.05   0.0016899515452506837
60  [347.29;351.76]      35   0.0015654952076677255             349.525   0.0014754566163693872
61  [351.76;356.23]      34   0.0015207667731629332             353.995   0.0012804529185679433
62   [356.23;360.7]      20   0.0008945686900958544  358.46500000000003   0.0011043872854176254
63   [360.7;365.17]      30   0.0013418530351437645             362.935   0.0009466725738046732
64  [365.17;369.64]      17   0.0007603833865814666             367.405   0.0008064896644552111
65  [369.64;374.11]      16   0.0007156549520766836             371.875   0.0006828391772736094
66  [374.11;378.59]       2   8.945686900958431e-05              376.35   0.0005744778924675109
67  [378.59;383.06]       5  0.00022364217252396075             380.825  0.00048033344446246076
68  [383.06;387.53]       2   8.945686900958545e-05  385.29499999999996   0.0003992255219848669
69   [387.53;392.0]       2   8.945686900958431e-05             389.765  0.00032977245834139515
